"campaign_id","ad_group_id","ad_id","time_window_start","attributed_conversions_1d","attributed_sales_1d","attributed_units_ordered_1d","month","day","hour","purchases_1d","placement","sales_1d","units_sold_1d"
"284196352105253","387225901684968","407150875796026","2025-03-10T00:00:00-07:00","1","50.4","1","03","10","08","1","Other on-Amazon","50.4","1"
"446297449266554","341529632093185","366430138838058","2025-03-10T01:00:00-07:00","1","34.95","1","03","10","10","1","Top of Search on-Amazon","34.95","1"
"446297449266554","341529632093185","366430138838058","2025-03-10T02:00:00-07:00","1","34.95","1","03","10","11","1","Top of Search on-Amazon","34.95","1"
"552544670745601","398513900569823","425864388680636","2025-03-10T05:00:00-07:00","1","36.1","1","03","10","13","1","Detail Page on-Amazon","36.1","1"
"371853015773578","336461794962230","349750854587294","2025-03-10T06:00:00-07:00","1","19.99","1","03","10","14","1","Other on-Amazon","19.99","1"
"499199007513580","352921008428475","473221178507921","2025-03-10T07:00:00-07:00","1","17.99","1","03","11","10","1","Other on-Amazon","17.99","1"
"486906608629233","408425337308545","285359370419580","2025-03-10T07:00:00-07:00","-1","-21.99","-1","04","07","18","-1","Other on-Amazon","-21.99","-1"
"486906608629233","408425337308545","285359370419580","2025-03-10T07:00:00-07:00","1","21.99","1","03","10","15","1","Other on-Amazon","21.99","1"
"486979294897033","426579058137414","476152905010736","2025-03-10T08:00:00-07:00","0","0.0","0","03","12","05","0","Detail Page on-Amazon","0.0","0"
"371853015773578","336461794962230","458621477424191","2025-03-10T08:00:00-07:00","1","19.99","1","03","10","16","1","Top of Search on-Amazon","19.99","1"
"486979294897033","426579058137414","476152905010736","2025-03-10T08:00:00-07:00","0","0.0","0","03","24","17","0","Detail Page on-Amazon","0.0","0"
"510862601302915","301573433164879","393327266818017","2025-03-10T09:00:00-07:00","1","190.0","1","03","10","17","1","Other on-Amazon","190.0","1"
"486711384637765","297581622209116","367602539166078","2025-03-10T10:00:00-07:00","1","42.75","1","03","10","18","1","Other on-Amazon","42.75","1"
"371853015773578","336461794962230","349750854587294","2025-03-10T11:00:00-07:00","1","19.99","1","03","10","20","1","Other on-Amazon","19.99","1"
"486979294897033","426579058137414","476152905010736","2025-03-10T12:00:00-07:00","1","190.0","1","03","11","14","1","Other on-Amazon","190.0","1"
"347368868613283","436938301127453","562125943078505","2025-03-10T12:00:00-07:00","0","0.0","0","03","19","17","0","Other on-Amazon","0.0","0"
"331258003819203","539972836150402","317560328822743","2025-03-10T12:00:00-07:00","0","0.0","0","03","27","01","0","Top of Search on-Amazon","0.0","0"
"510862601302915","301573433164879","393327266818017","2025-03-10T12:00:00-07:00","-1","-190.0","-1","03","11","22","-1","Other on-Amazon","-190.0","-1"
"347368868613283","436938301127453","562125943078505","2025-03-10T12:00:00-07:00","0","0.0","0","03","20","17","0","Other on-Amazon","0.0","0"
"510862601302915","301573433164879","393327266818017","2025-03-10T12:00:00-07:00","1","190.0","1","03","10","21","1","Other on-Amazon","190.0","1"
"510862601302915","301573433164879","393327266818017","2025-03-10T12:00:00-07:00","0","0.0","0","03","18","01","0","Top of Search on-Amazon","0.0","0"
"350562152603408","381519055180417","496499737745917","2025-03-10T13:00:00-07:00","-1","-37.99","-1","03","18","01","-1","Top of Search on-Amazon","-37.99","-1"
"282042809415137","313953350674984","543108183466288","2025-03-10T14:00:00-07:00","1","75.98","2","03","10","23","1","Detail Page on-Amazon","75.98","2"
"510681110202433","302977388432024","398107535294248","2025-03-10T14:00:00-07:00","1","65.0","1","03","10","22","1","Detail Page on-Amazon","65.0","1"
"446297449266554","341529632093185","514582629296428","2025-03-10T15:00:00-07:00","1","34.95","1","03","11","17","1","Other on-Amazon","34.95","1"
"371853015773578","336461794962230","458621477424191","2025-03-10T15:00:00-07:00","1","19.99","1","03","11","00","1","Top of Search on-Amazon","19.99","1"
"470643376311341","559044882217972","511514264014906","2025-03-10T15:00:00-07:00","-1","-34.95","-1","04","08","02","-1","Other on-Amazon","-34.95","-1"
"446297449266554","341529632093185","514582629296428","2025-03-10T15:00:00-07:00","0","0.0","0","03","15","21","0","Other on-Amazon","0.0","0"
"432440828107745","561162779337470","413574952090970","2025-03-10T15:00:00-07:00","1","21.99","1","03","11","11","1","Detail Page on-Amazon","21.99","1"
"284196352105253","387225901684968","407150875796026","2025-03-10T16:00:00-07:00","1","50.4","1","03","11","01","1","Top of Search on-Amazon","50.4","1"
"486711384637765","297581622209116","367602539166078","2025-03-10T17:00:00-07:00","1","42.75","1","03","11","02","1","Other on-Amazon","42.75","1"
"432440828107745","561162779337470","413574952090970","2025-03-10T18:00:00-07:00","0","0.0","0","03","25","21","0","Detail Page on-Amazon","0.0","0"
"350274847571034","352249005956704","300234801984025","2025-03-10T18:00:00-07:00","1","52.0","1","03","11","06","1","Detail Page on-Amazon","52.0","1"
"499199007513580","352921008428475","557108284426109","2025-03-10T18:00:00-07:00","0","0.0","0","03","13","05","0","Other on-Amazon","0.0","0"
"371853015773578","336461794962230","349750854587294","2025-03-10T19:00:00-07:00","1","19.99","1","03","11","23","1","Other on-Amazon","19.99","1"
"309713218251068","451170283859295","421199272372871","2025-03-10T19:00:00-07:00","1","36.1","1","03","11","04","1","Detail Page on-Amazon","36.1","1"
"371853015773578","336461794962230","349750854587294","2025-03-10T19:00:00-07:00","-1","-19.99","-1","04","09","02","-1","Other on-Amazon","-19.99","-1"
"331258003819203","539972836150402","343973457971340","2025-03-10T19:00:00-07:00","1","42.75","1","03","11","03","1","Other on-Amazon","42.75","1"
"504272338352224","289252548450498","453017734840800","2025-03-10T20:00:00-07:00","1","17.99","1","03","11","05","1","Detail Page on-Amazon","17.99","1"
"504272338352224","289252548450498","453017734840800","2025-03-10T20:00:00-07:00","-1","-17.99","-1","04","08","06","-1","Detail Page on-Amazon","-17.99","-1"
"552544670745601","398513900569823","313341963116304","2025-03-10T20:00:00-07:00","-1","-37.99","-1","03","18","09","-1","Other on-Amazon","-37.99","-1"
"446297449266554","341529632093185","514582629296428","2025-03-10T21:00:00-07:00","1","34.95","1","03","12","09","1","Top of Search on-Amazon","34.95","1"
"371853015773578","336461794962230","349750854587294","2025-03-10T22:00:00-07:00","1","19.99","1","03","11","07","1","Other on-Amazon","19.99","1"
